roi,cell_id,leiden_cluster,umap_1,umap_2,n_genes,total_counts,cell_type
Sample_007_Region,21232-sample_1_lv_0046706_007,15,7.8848395,0.14099711,0,112,F3
Sample_007_Region,21233-sample_1_lv_0046706_007,3,9.897875,5.536139,0,153,F1
Sample_007_Region,21234-sample_1_lv_0046706_007,33,1.2817838,21.095695,0,626,F2
Sample_007_Region,21235-sample_1_lv_0046706_007,2,11.29815,8.138942,0,218,Mono_mac
Sample_007_Region,21236-sample_1_lv_0046706_007,19,19.808958,14.740879,0,441,Tc
Sample_007_Region,21237-sample_1_lv_0046706_007,0,-4.3263946,5.7665157,0,332,F3
Sample_007_Region,21238-sample_1_lv_0046706_007,19,19.868584,11.538078,0,190,Tc
Sample_007_Region,21239-sample_1_lv_0046706_007,0,-2.6448376,6.6983066,0,239,F1
Sample_007_Region,21240-sample_1_lv_0046706_007,4,13.796113,8.163705,0,158,F1
Sample_007_Region,21241-sample_1_lv_0046706_007,15,5.5832286,2.987333,0,82,Tc
Sample_007_Region,21242-sample_1_lv_0046706_007,1,7.4122086,7.6570864,0,81,Tc
Sample_007_Region,21243-sample_1_lv_0046706_007,3,8.333261,5.0685687,0,97,F1
Sample_007_Region,21244-sample_1_lv_0046706_007,1,7.3786645,7.7839155,0,52,Macro_1
Sample_007_Region,21245-sample_1_lv_0046706_007,8,12.269189,1.4391279,0,464,F1
Sample_007_Region,21246-sample_1_lv_0046706_007,1,12.02146,10.82794,0,92,F3
Sample_007_Region,21247-sample_1_lv_0046706_007,2,10.330539,7.5293937,0,567,Mono_mac
Sample_007_Region,21248-sample_1_lv_0046706_007,15,6.944439,2.5802505,0,754,F3
Sample_007_Region,21249-sample_1_lv_0046706_007,9,9.076954,13.888514,0,264,F1
Sample_007_Region,21250-sample_1_lv_0046706_007,10,12.987226,9.479681,0,1051,F1
Sample_007_Region,21251-sample_1_lv_0046706_007,4,14.194555,7.814178,0,590,Mono_mac
Sample_007_Region,21252-sample_1_lv_0046706_007,10,13.321997,9.667729,0,1528,F2
Sample_007_Region,21253-sample_1_lv_0046706_007,32,1.4758836,11.607992,0,107,Mono_mac
Sample_007_Region,21254-sample_1_lv_0046706_007,18,15.852248,2.2660697,0,89,Mono_mac
Sample_007_Region,21255-sample_1_lv_0046706_007,0,-6.0947723,8.329583,0,93,Th
Sample_007_Region,21256-sample_1_lv_0046706_007,4,14.5883255,9.095275,0,560,F1
Sample_007_Region,21257-sample_1_lv_0046706_007,8,13.877814,2.1155689,0,948,Mono_mac
Sample_007_Region,21258-sample_1_lv_0046706_007,4,14.753235,8.841524,0,672,F1
Sample_007_Region,21259-sample_1_lv_0046706_007,22,10.001206,18.824589,0,308,VE3
Sample_007_Region,21260-sample_1_lv_0046706_007,2,9.477937,6.9645877,0,293,F3
Sample_007_Region,21261-sample_1_lv_0046706_007,4,15.29788,7.3803453,0,533,F3
Sample_007_Region,21262-sample_1_lv_0046706_007,3,8.3118925,6.2018113,0,75,F1
Sample_007_Region,21263-sample_1_lv_0046706_007,1,7.7814865,10.177092,0,67,F2
Sample_007_Region,21264-sample_1_lv_0046706_007,4,15.069135,9.051087,0,145,F1
Sample_007_Region,21265-sample_1_lv_0046706_007,15,5.6127696,2.4811394,0,338,Mono_mac
Sample_007_Region,21266-sample_1_lv_0046706_007,5,9.877834,3.7339222,0,521,Mono_mac
Sample_007_Region,21267-sample_1_lv_0046706_007,0,-4.5496287,7.0272875,0,646,F2
