index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,1.0,72310.555,27567.75
0,polygon,1,1.0,72163.87,27537.748
0,polygon,2,1.0,72030.516,27597.754
0,polygon,3,1.0,72087.195,27727.77
0,polygon,4,1.0,72187.2,27917.793
0,polygon,5,1.0,72423.9,28011.137
0,polygon,6,1.0,72673.93,28047.809
0,polygon,7,1.0,72737.266,27841.117
0,polygon,8,1.0,72640.59,27607.756
0,polygon,9,1.0,72573.914,27474.406
0,polygon,10,1.0,72410.56,27431.068
0,polygon,11,1.0,72400.56,27547.748
