Name,X,Y,W,H
a,25933.748046875,76114.08203125,1193.06640625,1242.7734375
b,26184.7890625,74657.546875,1665.3203125,1391.90625
c,24052.18359375,75291.3671875,1376.99609375,1546.015625
d,24407.6181640625,73685.69921875,1531.099609375,1108.5546875
